"id"	"text.id"	"subfile.id"	"spk.ref"	"speech.unit.count"	"word.count"
"1"	"S1A-001"	"1"	"A"	251	2192
"2"	"S1A-001"	"1"	"B"	50	247
"3"	"S1A-001"	"1"	"Z"	528	2029
"4"	"S1A-002"	"1"	"A"	172	1489
"5"	"S1A-002"	"1"	"B"	92	350
"6"	"S1A-002"	"1"	"Z"	152	876
"7"	"S1A-003"	"1"	"A"	480	2269
"8"	"S1A-003"	"1"	"Z"	513	1501
"9"	"S1A-004"	"1"	"A"	281	904
"10"	"S1A-004"	"1"	"B"	317	1509
"11"	"S1A-004"	"1"	"Z"	499	869
"12"	"S1A-004"	"2"	"A"	6	12
"13"	"S1A-004"	"2"	"B"	10	45
"14"	"S1A-004"	"2"	"Z"	13	12
"15"	"S1A-005"	"1"	"?"	6	8
"16"	"S1A-005"	"1"	"A"	196	1255
"17"	"S1A-005"	"1"	"B"	240	1226
"18"	"S1A-005"	"1"	"Z"	155	245
"19"	"S1A-006"	"1"	"A"	204	2778
"20"	"S1A-006"	"1"	"Z"	143	480
"21"	"S1A-007"	"1"	"A"	148	1149
"22"	"S1A-007"	"1"	"B"	102	901
"23"	"S1A-007"	"1"	"Z"	48	58
"24"	"S1A-008"	"1"	"A"	262	2103
"25"	"S1A-008"	"1"	"Z"	300	2460
"26"	"S1A-009"	"1"	"?"	1	0
"27"	"S1A-009"	"1"	"A"	287	2288
"28"	"S1A-009"	"1"	"B"	10	142
"29"	"S1A-009"	"1"	"C"	45	215
"30"	"S1A-009"	"1"	"D"	39	229
"31"	"S1A-009"	"1"	"E"	52	331
"32"	"S1A-009"	"1"	"Z"	238	718
"33"	"S1A-010"	"1"	"A"	228	1053
"34"	"S1A-010"	"1"	"B"	241	1184
"35"	"S1A-010"	"1"	"Z"	422	1397
"36"	"S1A-011"	"1"	"A"	323	1545
"37"	"S1A-011"	"1"	"B"	352	1354
"38"	"S1A-011"	"1"	"Z"	426	2348
"39"	"S1A-012"	"1"	"A"	143	1808
"40"	"S1A-012"	"1"	"Z"	249	827
"41"	"S1A-012"	"2"	"?"	2	6
"42"	"S1A-012"	"2"	"A"	33	122
"43"	"S1A-012"	"2"	"B"	27	104
"44"	"S1A-012"	"2"	"C"	36	235
"45"	"S1A-012"	"2"	"Z"	93	172
"46"	"S1A-013"	"1"	"A"	131	2542
