"id"	"orig.id"	"file.speaker.id"	"text.id"	"subfile"	"spk.id"	"spk.ref"	"zone"	"title"	"date"	"sex"	"age"	"prov"	"reside"	"ed.lev"	"occupation"	"relig"	"1st.lg"	"other.lgs"	"speech.unit.count"	"word.count"
1	"1"	"<S1A-001$A>"	"S1A-001"	"1"	"1"	"A"	"northern ireland"	"riding"	"1990-1994"	"male"	"34-41"	"belfast"	"belfast"	"doctoral degree"	"senior systems analyst"	"protestant"	"english"	NA	82	765
2	"2"	"<S1A-001$B>"	"S1A-001"	"1"	"2"	"B"	"northern ireland"	"riding"	"1990-1994"	"female"	"34-41"	"belfast"	"belfast"	"secondary school qualification"	"bank clerk"	"protestant"	"english"	NA	126	1298
3	NA	"<S1A-002$?>"	"S1A-002"	"1"	NA	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	23
4	"3"	"<S1A-002$A>"	"S1A-002"	"1"	"3"	"A"	"northern ireland"	"dinner chat 1"	"2002-2005"	"female"	"26-33"	"belfast"	"belfast"	"postgraduate qualification"	"solicitor"	"catholic"	"english"	"french & italian"	54	391
5	"4"	"<S1A-002$B>"	"S1A-002"	"1"	"4"	"B"	"northern ireland"	"dinner chat 1"	"2002-2005"	"female"	"19-25"	"belfast"	"belfast"	"first degree"	"pg student"	"catholic"	"english"	"french"	10	47
6	"5"	"<S1A-002$C>"	"S1A-002"	"1"	"5"	"C"	"northern ireland"	"dinner chat 1"	"2002-2005"	"male"	"50+"	"belfast"	"belfast"	"secondary school qualification"	"retired civil servant"	"catholic"	"english"	NA	28	200
7	"6"	"<S1A-002$D>"	"S1A-002"	"1"	"6"	"D"	"northern ireland"	"dinner chat 1"	"2002-2005"	"female"	"50+"	"belfast"	"belfast"	"postgraduate qualification"	"vp of primary school"	"catholic"	"english"	"irish gaelic"	82	464
8	"7"	"<S1A-002$E>"	"S1A-002"	"1"	"7"	"E"	"mixed between ni and roi"	"dinner chat 1"	"2002-2005"	"male"	"34-41"	"belfast"	"england"	"doctoral degree"	"surgeon"	"catholic"	"english"	NA	65	639
9	"8"	"<S1A-002$F>"	"S1A-002"	"1"	"11"	"F"	"northern ireland"	"dinner chat 1"	"2002-2005"	"female"	"26-33"	"belfast"	"belfast"	"doctoral degree"	"research assistant"	"catholic"	"english"	"french & italian"	54	308
10	"9"	"<S1A-002$G>"	"S1A-002"	"1"	"14"	"G"	"northern ireland"	"dinner chat 1"	"2002-2005"	"female"	"50+"	"belfast"	"belfast"	"secondary school qualification"	"retired civil servant"	"catholic"	"english"	NA	9	78
