"id"	"file.speaker.id"	"text.id"	"subfile.id"	"spk.ref"	"age"	"sex"	"education"	"education-level"	"id.orig"	"text.cat"	"no.interlocs"	"communicative.role"	"surname"	"first.name"	"nationality"	"first.language"	"occupation"	"organising.body"	"date"	"time"	"place"	"address"	"audience"	"channel"	"main.title"	"source.title"	"speech.unit.count"	"word.count"
"1"	"<ICE-JAM:$A>"	"S1A-001"	"1"	"A"	NA	"female"	"phd"	"university education"	"122"	"spoken-dialogue-private-direct conversations"	"2"	NA	"shields-brodber"	"kathrin"	"jamaican"	"english"	"professor of linguistics"	NA	"1990-1994"	NA	"kingston, jamaica"	NA	NA	NA	"brodber and wallace"	NA	"101"	"1406"
"2"	"<ICE-JAM:$B>"	"S1A-001"	"1"	"B"	NA	"female"	NA	"secondary education"	"123"	"spoken-dialogue-private-direct conversations"	"2"	NA	"wallace"	"elaine"	"jamaican"	NA	"director of information at the office of the prime minister"	NA	"1990-1994"	NA	"kingston, jamaica"	NA	NA	NA	"brodber and wallace"	NA	"78"	"652"
"3"	"<ICE-JAM:$A>"	"S1A-002"	"1"	"A"	"46+"	"male"	NA	"university education"	"406"	"spoken-dialogue-private-direct conversations"	"4"	NA	"miller"	"donald"	"jamaican"	"english"	"manager of the media house"	NA	"1995-1999"	"8 pm"	"kingston, jamaica"	"scr, bar, university of the west indies, mona, kingston 7, jamaica"	NA	NA	"language issues"	NA	"92"	"1197"
"4"	"<ICE-JAM:$B>"	"S1A-002"	"1"	"B"	"46+"	"female"	NA	"university education"	"407"	"spoken-dialogue-private-direct conversations"	"4"	NA	"anonymous"	"<@>mary</@>"	"jamaican"	NA	"librarian"	NA	"1995-1999"	"8 pm"	"kingston, jamaica"	"scr, bar, university of the west indies, mona, kingston 7, jamaica"	NA	NA	"language issues"	NA	"34"	"286"
"5"	"<ICE-JAM:$C>"	"S1A-002"	"1"	"C"	"26-45"	"male"	"phd"	"university education"	"408"	"spoken-dialogue-private-direct conversations"	"4"	NA	"lindo"	"john f."	"jamaican"	"english/jamaican"	"senior lecturer"	NA	"1995-1999"	"8 pm"	"kingston, jamaica"	"scr, bar, university of the west indies, mona, kingston 7, jamaica"	NA	NA	"language issues"	NA	"52"	"545"
"6"	"<ICE-JAM:$D>"	"S1A-002"	"1"	"D"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4"	"26"
"7"	"<ICE-JAM:$Z>"	"S1A-002"	"1"	"Z"	"26-45"	"female"	"master's degree"	"university education"	"479"	"spoken-dialogue-private-direct conversations"	"4"	"extra-corpus speaker"	"deuber"	"dagmar"	"german"	"german"	"researcher"	NA	"1995-1999"	"8 pm"	"kingston, jamaica"	"scr, bar, university of the west indies, mona, kingston 7, jamaica"	NA	NA	"language issues"	NA	"5"	"0"
"8"	"<ICE-JAM:$?>"	"S1A-003"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"1"	"2"
"9"	"<ICE-JAM:$A>"	"S1A-003"	"1"	"A"	"46+"	"male"	"phd"	"university education"	"480"	"spoken-dialogue-private-direct conversations"	"3"	NA	"reid"	"harvey"	"jamaican"	"english"	"lecturer"	NA	"1995-1999"	"8 pm"	"kingston, jamaica"	"scr, bar, university of the west indies, mona, kingston 7, jamaica"	NA	NA	"language in jamaica"	NA	"94"	"616"
"10"	"<ICE-JAM:$B>"	"S1A-003"	"1"	"B"	"46+"	"male"	NA	"university education"	"481"	"spoken-dialogue-private-direct conversations"	"3"	NA	"miller"	"donald"	"jamaican"	"english"	"manager of the media house"	NA	"1995-1999"	"8 pm"	"kingston, jamaica"	"scr, bar, university of the west indies, mona, kingston 7, jamaica"	NA	NA	"language in jamaica"	NA	"147"	"1545"
