"id"	"orig.id"	"file.speaker.id"	"text.id"	"subfile.id"	"spk.ref"	"your.id"	"text.category"	"recording.date"	"recording.place"	"organizing.body"	"first.name"	"last.name"	"gender"	"age"	"nationality"	"mother.tongue"	"occupation"	"educational.level"	"copyright.statement"	"speech.unit.count"	"word.count"
1	1	"<S1A-001#?>"	"S1A-001"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	58
2	2	"<S1A-001#1:A>"	"S1A-001"	"1"	"A"	"nps"	"spoken:dialogue:private:direct conversation"	"15-01-2000"	"de la salle university"	NA	"randy"	"briones"	"male"	"21-25"	"filipino"	"tagalog"	"m.a. student/teacher"	"b.a."	"reproduced by permission. all rights reserved."	157	954
3	3	"<S1A-001#1:B>"	"S1A-001"	"1"	"B"	"nps"	"spoken:dialogue:private:direct conversation"	"15-01-2000"	"de la salle university"	NA	"dennis"	"dela cruz"	"male"	"21-25"	"filipino"	NA	"m.a. student"	"b.a."	"reproduced by permission. all rights reserved."	143	1385
4	4	"<S1A-002#?>"	"S1A-002"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	27
5	5	"<S1A-002#1:A>"	"S1A-002"	"1"	"A"	"nps"	"spoken:dialogue:private:direct conversation"	"00-00-2000"	"de la salle university"	NA	"michael"	"lim"	"male"	"21-25"	"chinese"	NA	"m.a. student/teacher"	"b.a."	"reproduced by permission. all rights reserved."	174	1031
6	6	"<S1A-002#1:B>"	"S1A-002"	"1"	"B"	"nps"	"spoken:dialogue:private:direct conversation"	"00-00-2000"	"de la salle university"	NA	"maria concepcion"	"montenegro"	"female"	"36-40"	"filipino"	"tagalog"	"ph.d. student/teacher"	"m.a."	"reproduced by permission. all rights reserved."	159	1049
7	7	"<S1A-003#?>"	"S1A-003"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	21
8	8	"<S1A-003#1:A>"	"S1A-003"	"1"	"A"	"nps"	"spoken:dialogue:private:direct conversation"	"00-01-1992"	"de la salle university"	NA	"maria lourdes"	"bautista"	"female"	"46-50"	"filipino"	"tagalog"	"professor"	"phd"	"reproduced by permission. all rights reserved."	124	567
9	9	"<S1A-003#1:B>"	"S1A-003"	"1"	"B"	"nps"	"spoken:dialogue:private:direct conversation"	"00-01-1992"	"de la salle university"	NA	"bonifacio"	"sibayan"	"male"	"50+"	"filipino"	"kankanaey"	"professor"	"phd"	"reproduced by permission. all rights reserved."	153	1186
10	10	"<S1A-004#1:A>"	"S1A-004"	"1"	"A"	"mlb"	"spoken:dialogue:private:direct conversation"	"11-11-2002"	"south super highway en route to laguna"	NA	"marilette"	""	"female"	"36-40"	"filipino"	NA	"businesswoman"	"b.a."	"reproduced by permission. all rights reserved."	262	2084
11	11	"<S1A-004#1:B>"	"S1A-004"	"1"	"B"	"mlb"	"spoken:dialogue:private:direct conversation"	"11-11-2002"	"south super highway en route to laguna"	NA	"pinky"	""	"female"	"36-40"	"filipino"	NA	"businesswoman"	"b.a."	"reproduced by permission. all rights reserved."	140	364
12	12	"<S1A-005#1:A>"	"S1A-005"	"1"	"A"	"nps"	"spoken:dialogue:private:direct conversation"	"26-10-1991"	"quezon city"	NA	"teresa"	"jose"	"female"	"21-25"	"filipino"	"tagalog"	"m.a. student"	"b.a."	"reproduced by permission. all rights reserved."	57	283
13	13	"<S1A-005#1:B>"	"S1A-005"	"1"	"B"	"nps"	"spoken:dialogue:private:direct conversation"	"26-10-1991"	"quezon city"	NA	"maria paz"	"diokno"	"female"	"36-40"	"filipino"	"tagalog"	"professional"	"b.a."	"reproduced by permission. all rights reserved."	120	1756
14	14	"<S1A-006#1:A>"	"S1A-006"	"1"	"A"	"mlb"	"spoken:dialogue:private:direct conversation"	"24-08-2002"	"elise's residence, taft avenue, manila"	NA	"elysian"	"velasco"	"female"	"36-40"	"filipino"	"tagalog"	"m.a. student"	"b.a."	"reproduced by permission. all rights reserved."	92	1150
15	15	"<S1A-006#1:B>"	"S1A-006"	"1"	"B"	"mlb"	"spoken:dialogue:private:direct conversation"	"24-08-2002"	"elise's residence, taft avenue, manila"	NA	"honoria"	"sison"	"female"	"36-40"	"filipino"	NA	"lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	125	1950
16	16	"<S1A-007#?>"	"S1A-007"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	25
17	17	"<S1A-007#1:A>"	"S1A-007"	"1"	"A"	"nps"	"spoken:dialogue:private:direct conversation"	"16-06-2000"	"miguel hall, dlsu"	NA	"vanessa"	"conanan"	"female"	"16-20"	"filipino"	NA	"student"	"undergrad"	"reproduced by permission. all rights reserved."	71	741
18	18	"<S1A-007#1:B>"	"S1A-007"	"1"	"B"	"nps"	"spoken:dialogue:private:direct conversation"	"16-06-2000"	"miguel hall, dlsu"	NA	"ma. carmina"	"calupitan"	"female"	"16-20"	"filipino"	NA	"student"	"undergrad"	"reproduced by permission. all rights reserved."	104	1262
19	19	"<S1A-009#?>"	"S1A-009"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
20	20	"<S1A-009#1:A>"	"S1A-009"	"1"	"A"	"nps"	"spoken:dialogue:private:direct conversation"	"26-10-1991"	"quezon city"	NA	"teresa"	"jose"	"female"	"21-25"	"filipino"	"tagalog"	"m.a. student/teacher"	"b.a."	"reproduced by permission. all rights reserved."	53	179
21	21	"<S1A-009#1:B>"	"S1A-009"	"1"	"B"	"nps"	"spoken:dialogue:private:direct conversation"	"26-10-1991"	"quezon city"	NA	"maria socorro"	"diokno"	"female"	"31-35"	"filipino"	"tagalog"	""	"b.a."	"reproduced by permission. all rights reserved."	160	1870
22	22	"<S1A-009#?>"	"S1A-009"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
23	23	"<S1A-009#1:A>"	"S1A-009"	"1"	"A"	"nps"	"spoken:dialogue:private:direct conversation"	"26-10-1991"	"quezon city"	NA	"teresa"	"jose"	"female"	"21-25"	"filipino"	"tagalog"	"m.a. student/teacher"	"b.a."	"reproduced by permission. all rights reserved."	53	179
24	24	"<S1A-009#1:B>"	"S1A-009"	"1"	"B"	"nps"	"spoken:dialogue:private:direct conversation"	"26-10-1991"	"quezon city"	NA	"maria socorro"	"diokno"	"female"	"31-35"	"filipino"	"tagalog"	""	"b.a."	"reproduced by permission. all rights reserved."	160	1870
25	25	"<S1A-010#?>"	"S1A-010"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	26
26	26	"<S1A-010#1:A>"	"S1A-010"	"1"	"A"	"nps"	"spoken:dialogue:private:direct conversation"	"26-10-1991"	"quezon city"	NA	"teresa"	"jose"	"female"	"21-25"	"filipino"	"tagalog"	"m.a. student/teacher"	"m.a."	"reproduced by permission. all rights reserved."	79	489
27	27	"<S1A-010#1:B>"	"S1A-010"	"1"	"B"	"nps"	"spoken:dialogue:private:direct conversation"	"26-10-1991"	"quezon city"	NA	"maria serena"	"diokno"	"female"	"26-30"	"filipino"	"tagalog"	"lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	173	2139
28	28	"<S1A-011#?>"	"S1A-011"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	11
