"id"	"part"	"text.id"	"spk.ref"	"speaker.id"	"gender"	"age.exact"	"age"	"dialect.of.english"	"dialect.state"	"current.state"	"ed.level"	"ed.years"	"occupation"	"ethnicity"	"speech.unit.count"	"word.count"
"1"	1	"sbc001"	"doris"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50	592
"2"	1	"sbc001"	"env"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2
"3"	1	"sbc001"	"lenore"	NA	"female"	"30"	"26-33"	"los angeles"	"california"	"california"	"college or higher"	"16"	"student"	"white"	62	348
"4"	1	"sbc001"	"lynne"	NA	"female"	"19"	"19-25"	"montana"	"montana"	NA	"high school or lower"	"12"	"student/ho"	"white"	107	4066
"5"	1	"sbc002"	"env"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1
"6"	1	"sbc002"	"harold"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	162	942
"7"	1	"sbc002"	"jamie"	NA	"female"	"30"	"26-33"	"walnut cre"	"california"	"california"	"college or higher"	"16"	"dancer/da"	"white"	235	1108
"8"	1	"sbc002"	"miles"	NA	"male"	NA	NA	NA	NA	"california"	NA	NA	NA	"african-american"	203	2354
"9"	1	"sbc002"	"pete"	NA	"male"	"36"	"34-41"	"san leandr"	"california"	"california"	NA	"18"	"grad student"	"white"	157	406
"10"	1	"sbc003"	"marilyn"	NA	"female"	"33"	"26-33"	NA	NA	"california"	NA	NA	"writer"	"white"	306	2189
"11"	1	"sbc003"	"pete"	NA	"male"	"36"	"34-41"	"san leandr"	"california"	"california"	NA	"18"	"grad student"	"white"	277	1050
"12"	1	"sbc003"	"roy"	NA	"male"	"34"	"34-41"	NA	NA	"california"	NA	NA	"designer"	"white"	217	1449
"13"	1	"sbc004"	"carolyn"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	180	1079
"14"	1	"sbc004"	"dog"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0
"15"	1	"sbc004"	"env"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2
"16"	1	"sbc004"	"kate"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
"17"	1	"sbc004"	"kathy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	129	716
"18"	1	"sbc004"	"pam"	NA	"female"	"43"	"42-49"	"massachusetts"	"massachusetts"	"new mexico"	NA	NA	"housewife"	"white"	19	38
"19"	1	"sbc004"	"shane"	NA	"male"	"23"	"19-25"	"corpus christi"	"texas"	"texas"	"college or higher"	NA	"med student"	"chicano/latino"	26	36
"20"	1	"sbc004"	"sharon"	NA	"female"	"24"	"19-25"	"new mexico"	"new mexico"	"texas"	"college or higher"	NA	"teacher"	"white"	232	2550
"21"	1	"sbc004"	"warren"	NA	"male"	"34"	"34-41"	"wenham"	"massachusetts"	"illinois"	NA	"23"	"veterinarian"	"white"	6	8
"22"	1	"sbc005"	"darryl"	NA	"male"	"33"	"26-33"	"san francisco"	"california"	"california"	"college or higher"	"16"	"comm./comp"	"white"	163	1019
"23"	1	"sbc005"	"env"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
"24"	1	"sbc005"	"pamela"	NA	"female"	"38"	"34-41"	"southern california"	"california"	"california"	"college or higher"	"16"	"actress/fi"	"white"	163	1776
"25"	1	"sbc006"	"alina"	NA	"female"	"34"	"34-41"	"los angeles"	"california"	"california"	"college or higher"	"16"	"housewife"	"white"	290	5249
"26"	1	"sbc006"	"all"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0
"27"	1	"sbc006"	"env"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
"28"	1	"sbc006"	"lenore"	NA	"female"	"30"	"26-33"	"los angeles"	"california"	"california"	"college or higher"	"16"	"student"	"white"	292	611
"29"	1	"sbc007"	"alice"	NA	"female"	"28"	"26-33"	"pryor"	"montana"	"montana"	"college or higher"	"16"	"student"	"native american"	154	1572
"30"	1	"sbc007"	"mary"	NA	"female"	"27"	"26-33"	"pryor"	"montana"	"montana"	"college or higher"	"13"	"cook fire"	"native american"	154	1473
"31"	1	"sbc008"	"all"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0
"32"	1	"sbc008"	"arnold"	NA	"male"	NA	NA	"saginaw"	"michigan"	"california"	"high school or lower"	"12"	"us army"	"white"	32	115
"33"	1	"sbc008"	"env"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	9
"34"	1	"sbc008"	"june"	NA	"female"	"21"	"19-25"	"laguna beach"	"california"	"california"	"college or higher"	"17"	"grad student"	"white"	9	35
"35"	1	"sbc008"	"rebecca"	NA	"female"	"31"	"26-33"	"saratoga"	"california"	"california"	"college or higher"	"22"	"attorney"	"white"	324	2499
"36"	1	"sbc008"	"rickie"	NA	"female"	NA	NA	"san francisco"	"california"	"california"	"high school or lower"	"12"	"clerk"	"african-american"	318	2118
"37"	1	"sbc009"	"kathy"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	146	1245
"38"	1	"sbc009"	"nathan"	NA	"male"	"19"	"19-25"	"mobile"	"alabama"	"alabama"	"high school or lower"	"12"	"student"	"white"	147	1257
"39"	1	"sbc010"	"brad"	NA	"male"	"45"	"42-49"	NA	NA	NA	"ma"	"18"	"director o"	"white"	250	1014
"40"	1	"sbc010"	"phil"	NA	"male"	"30"	"26-33"	NA	NA	"new mexico"	"college or higher"	"16"	"graphic designer"	"chicano/latino"	246	2541
"41"	1	"sbc011"	"angela"	NA	"female"	"90"	"50+"	"middle wes"	"missouri"	"arizona"	"college or higher"	"18"	"teacher j"	"white"	195	1231
"42"	1	"sbc011"	"doris"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	186	1378
"43"	1	"sbc011"	"env"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	3
"44"	1	"sbc011"	"sam"	NA	"female"	"72"	"50+"	"arcadia"	"indiana"	"arizona"	NA	"15"	"retired"	"white"	103	558
"45"	1	"sbc012"	"bev"	NA	"female"	"20"	"19-25"	"southern california"	"california"	"california"	"high school or lower"	"15"	"student"	"white"	2	60
