"id"	"id.orig"	"file.speaker.id"	"text.id"	"subfile.id"	"spk.ref"	"sex"	"age"	"ethnicity"	"occupation"	"speech.unit.count"	"word.count"
1	1	"<S1A-001#1:F>"	"S1A001"	"1"	"F"	"female"	"20-24"	"Pakeha"	NA	175	984
2	2	"<S1A-001#1:M>"	"S1A001"	"1"	"M"	"male"	"20-24"	"Pakeha"	"Baker/Patissier"	187	915
3	3	"<S1A-002#1:B>"	"S1A002"	"1"	"B"	"female"	"16-19"	"Pakeha"	NA	147	1017
4	4	"<S1A-002#1:Q>"	"S1A002"	"1"	"Q"	"female"	"16-19"	"Pakeha"	"P/T House Cleaner"	139	960
5	5	"<S1A-003#1:B>"	"S1A003"	"1"	"B"	"male"	"35-39"	"Pakeha"	"Computer Programmer"	121	492
6	6	"<S1A-003#1:M>"	"S1A003"	"1"	"M"	"male"	"25-29"	"Pakeha"	"Journalist"	203	1662
7	7	"<S1A-004#1:G>"	"S1A004"	"1"	"G"	"female"	"25-29"	"Maori"	NA	148	1342
8	8	"<S1A-004#1:M>"	"S1A004"	"1"	"M"	"female"	"45-49"	"Maori"	NA	106	589
9	9	"<S1A-005#1:?>"	"S1A005"	"1"	"?"	NA	NA	NA	NA	2	2
10	10	"<S1A-005#1:A>"	"S1A005"	"1"	"A"	"male"	"45-49"	"Pakeha"	"Radio Broadcaster"	123	657
11	11	"<S1A-005#1:B>"	"S1A005"	"1"	"B"	"female"	"16-19"	"Lebanese"	NA	131	772
12	12	"<S1A-005#1:C>"	"S1A005"	"1"	"C"	"female"	"16-19"	"Pakeha"	NA	131	560
13	13	"<S1A-006#1:F>"	"S1A006"	"1"	"F"	"female"	"20-24"	"Pakeha"	NA	77	480
14	14	"<S1A-006#1:G>"	"S1A006"	"1"	"G"	"male"	"20-24"	"Pakeha"	"Computer Programmer/Tutor"	67	420
15	15	"<S1A-006#1:M>"	"S1A006"	"1"	"M"	"male"	"20-24"	"Pakeha"	"Cleaner"	109	1108
16	16	"<S1A-007#1:G>"	"S1A007"	"1"	"G"	"male"	"70-74"	"Maori"	NA	100	585
17	17	"<S1A-007#1:J>"	"S1A007"	"1"	"J"	"female"	"65-69"	"Pakeha"	NA	60	345
18	18	"<S1A-007#1:T>"	"S1A007"	"1"	"T"	"female"	"16-19"	"Pakeha"	"Nanny"	120	984
19	19	"<S1A-007#1:X>"	"S1A007"	"1"	"X"	"female"	NA	NA	NA	7	0
20	20	"<S1A-008#1:?>"	"S1A008"	"1"	"?"	NA	NA	NA	NA	5	1
21	21	"<S1A-008#1:G>"	"S1A008"	"1"	"G"	"male"	"20-24"	"Pakeha"	"Computer Programmer/Tutor"	44	233
22	22	"<S1A-008#1:J>"	"S1A008"	"1"	"J"	"male"	"20-24"	"Pakeha"	"Dbase Admin/Checkout Operator"	99	738
23	23	"<S1A-008#1:L>"	"S1A008"	"1"	"L"	"female"	"20-24"	"Pakeha"	NA	56	209
24	24	"<S1A-008#1:R>"	"S1A008"	"1"	"R"	"male"	"20-24"	"Pakeha"	"Cleaner"	95	795
25	25	"<S1A-009#1:H>"	"S1A009"	"1"	"H"	"male"	"16-19"	"Pakeha"	"Student"	165	999
26	26	"<S1A-009#1:S>"	"S1A009"	"1"	"S"	"male"	"16-19"	"Pakeha"	"Student"	140	782
27	27	"<S1A-010#1:D>"	"S1A010"	"1"	"D"	"male"	"20-24"	"Pakeha"	NA	169	1123
28	28	"<S1A-010#1:H>"	"S1A010"	"1"	"H"	"female"	"16-19"	"Pakeha"	NA	167	776
29	29	"<S1A-011#1:B>"	"S1A011"	"1"	"B"	"female"	"30-34"	"Maori"	"Bank Teller"	199	1196
30	30	"<S1A-011#1:U>"	"S1A011"	"1"	"U"	"female"	"50-54"	"Maori"	NA	159	696
31	31	"<S1A-012#1:A>"	"S1A012"	"1"	"A"	"male"	"65-69"	"Pakeha"	NA	107	655
32	32	"<S1A-012#1:B>"	"S1A012"	"1"	"B"	"female"	"25-29"	"Pakeha"	"Manageress"	76	552
33	33	"<S1A-012#1:C>"	"S1A012"	"1"	"C"	"female"	"20-24"	"Pakeha"	"Student"	126	877
34	34	"<S1A-013#1:E>"	"S1A013"	"1"	"E"	"female"	"20-24"	"Pakeha"	"Student"	217	1443
35	35	"<S1A-013#1:H>"	"S1A013"	"1"	"H"	"female"	"20-24"	"Pakeha"	"Student"	167	800
36	36	"<S1A-014#1:A>"	"S1A014"	"1"	"A"	"female"	"20-24"	"Pakeha"	"Waiter/PR Officer"	150	1249
37	37	"<S1A-014#1:F>"	"S1A014"	"1"	"F"	"female"	"16-19"	"Pakeha"	NA	115	1042
38	38	"<S1A-015#1:A>"	"S1A015"	"1"	"A"	"male"	"20-24"	"Samoan"	NA	180	1382
